CellNumber,GrowthRate,BirthLength,LifeHistory
637,0.030733289,22,25
638,0.057536414,6,6
639,0.035838971,20,23
640,0.031987252,23,24
641,0.030250412,19,28
642,0.032217851,21,21
643,0.033781783,20,20
644,0.029288955,21,23
645,0.024686008,25,11
646,0.03098036,24,22
647,0.027520141,23,13
648,0.020428362,28,22
650,0.044885711,14,26
651,0.030312311,32,3
652,-0.094000726,8,6
653,0.021539146,26,21
654,0.061903921,14,11
655,0.035140142,17,19
656,0.028720771,24,17
657,-0.485507816,13,2
658,0.206346403,14,4
659,0.151634749,9,11
660,-0.105360516,10,2
661,0,6,4
663,0.029197164,11,33
664,0.029337079,23,19
665,0.033571688,20,15
666,0.084118059,5,5
667,0.068880518,15,12
668,0.022225881,22,3
669,0.018561565,22,10
670,0.087011377,11,2
671,0.095941046,4,25
672,0.031298455,20,17
673,0.02824113,21,22
674,-0.091160778,6,3
675,0.098778148,7,17
676,0.027390933,20,17
677,0.025672118,12,28
678,0.027031007,22,16
679,0.032122539,21,16
680,0.037385804,20,10
681,0.043582023,13,25
682,0.04513861,11,26
683,0.0256665,7,22
684,0.025341569,20,17
685,0.02311942,24,22
686,0.026111313,20,19
687,0.029019101,22,17
688,0.030226196,18,23
689,0.026659507,20,27
690,0.013474913,21,41
691,0.028437042,24,10
692,-0.000965486,19,57
693,0.002217735,20,23
694,0.034164967,25,10
695,0.028961793,26,15
696,0.035101122,21,13
697,-0.287682072,8,2
698,0.120159622,8,12
700,-0.060773852,6,4
701,0.024184337,22,19
702,0.030759282,20,21
703,0.03045056,19,16
704,0.014213952,23,22
706,0.065648611,17,12
707,0.069332647,4,18
708,0.02996571,30,23
709,0.033670344,29,12
710,0.071920518,6,5
711,0.027534748,18,30
712,0.023666002,17,25
713,0,4,2
714,0.035405888,21,12
715,0.027669262,23,21
716,0.03093614,20,20
717,0.029795519,23,22
718,0.020980879,7,18
719,0.031430433,24,21
720,0.036481431,23,20
721,0.045999281,9,35
722,0.028543384,25,20
723,0.034033009,22,20
724,-0.42364893,14,3
725,0.122620895,26,6
726,0.047947012,15,7
727,0.025954921,13,9
728,-0.200670695,11,2
729,0.033958835,23,15
730,0.078019289,15,9
731,0.101366277,4,5
732,0.048770846,8,34
733,0.036521244,20,13
734,0.03079177,22,22
735,0.037385804,5,10
736,0.078077672,22,8
737,-0.309519604,13,3
738,0.042228762,13,20
740,0.039661677,25,8
741,0.059468967,12,19
